name,err_msg,num_iterations,message_size_B,block_size_B,FEC,num_lost_rdma_packets,num_cpu_threads,is_gpu_bm,num_gpu_blocks,threads_per_gpu_block,time_ns,time_ns_stddev,time_ns_min,time_ns_max
"ISA-L (MDS)/iterations:1",,10,134217728,8192,"FEC(16,8)",0,1,0,0,0,2.13443e+07,608367,2.09396e+07,2.29875e+07
"CM256 (MDS)/iterations:1",,10,134217728,8192,"FEC(16,8)",0,1,0,0,0,3.78609e+07,159939,3.7704e+07,3.82533e+07
"Xorec/iterations:1",,10,134217728,8192,"FEC(32,4)",0,1,0,0,0,5.08526e+06,161054,4.98355e+06,5.50172e+06
"Leopard (MDS)/iterations:1",,10,134217728,8192,"FEC(32,4)",0,1,0,0,0,1.60573e+07,200040,1.58472e+07,1.6354e+07
"ISA-L (MDS)/iterations:1",,10,134217728,8192,"FEC(32,4)",0,1,0,0,0,7.90413e+06,146806,7.74901e+06,8.19298e+06
"CM256 (MDS)/iterations:1",,10,134217728,8192,"FEC(32,4)",0,1,0,0,0,1.31073e+07,760964,1.28335e+07,1.52716e+07
"Xorec/iterations:1",,10,134217728,8192,"FEC(32,8)",0,1,0,0,0,1.22686e+07,116867,1.21316e+07,1.25073e+07
"Leopard (MDS)/iterations:1",,10,134217728,8192,"FEC(32,8)",0,1,0,0,0,2.64971e+07,279586,2.62309e+07,2.71284e+07
"ISA-L (MDS)/iterations:1",,10,134217728,8192,"FEC(32,8)",0,1,0,0,0,1.41103e+07,59101.4,1.40438e+07,1.42519e+07
"CM256 (MDS)/iterations:1",,10,134217728,8192,"FEC(32,8)",0,1,0,0,0,3.06209e+07,51508.1,3.05505e+07,3.07022e+07
"Xorec/iterations:1",,10,134217728,8192,"FEC(32,8)",0,2,0,0,0,7.07002e+06,123536,6.94146e+06,7.3551e+06
"Leopard (MDS)/iterations:1",,10,134217728,8192,"FEC(32,8)",0,2,0,0,0,1.464e+07,103077,1.44816e+07,1.48314e+07
"ISA-L (MDS)/iterations:1",,10,134217728,8192,"FEC(32,8)",0,2,0,0,0,7.97165e+06,39798.7,7.91975e+06,8.04715e+06
"CM256 (MDS)/iterations:1",,10,134217728,8192,"FEC(32,8)",0,2,0,0,0,1.61439e+07,65800.6,1.60498e+07,1.62763e+07
"Xorec/iterations:1",,10,134217728,16384,"FEC(2,1)",0,1,0,0,0,2.03264e+07,183202,2.02047e+07,2.0814e+07
"Leopard (MDS)/iterations:1",,10,134217728,16384,"FEC(2,1)",0,1,0,0,0,2.02478e+07,48702.7,2.01854e+07,2.03278e+07
"ISA-L (MDS)/iterations:1",,10,134217728,16384,"FEC(2,1)",0,1,0,0,0,1.76983e+07,90927.9,1.76055e+07,1.79091e+07
"CM256 (MDS)/iterations:1",,10,134217728,16384,"FEC(2,1)",0,1,0,0,0,1.65257e+07,86492,1.64221e+07,1.67106e+07
"Xorec/iterations:1",,10,134217728,16384,"FEC(4,2)",0,1,0,0,0,2.03506e+07,80171.7,2.02619e+07,2.05566e+07
"Leopard (MDS)/iterations:1",,10,134217728,16384,"FEC(4,2)",0,1,0,0,0,4.2716e+07,266224,4.23773e+07,4.30912e+07
"ISA-L (MDS)/iterations:1",,10,134217728,16384,"FEC(4,2)",0,1,0,0,0,1.76897e+07,482602,1.73656e+07,1.89384e+07
"CM256 (MDS)/iterations:1",,10,134217728,16384,"FEC(4,2)",0,1,0,0,0,2.02445e+07,68956.2,2.01618e+07,2.03703e+07
"Xorec/iterations:1",,10,134217728,16384,"FEC(8,4)",0,1,0,0,0,2.03407e+07,35488.7,2.0283e+07,2.03756e+07
"Leopard (MDS)/iterations:1",,10,134217728,16384,"FEC(8,4)",0,1,0,0,0,4.3588e+07,189001,4.32964e+07,4.38499e+07
"ISA-L (MDS)/iterations:1",,10,134217728,16384,"FEC(8,4)",0,1,0,0,0,1.79528e+07,324179,1.76936e+07,1.86707e+07
"CM256 (MDS)/iterations:1",,10,134217728,16384,"FEC(8,4)",0,1,0,0,0,2.61954e+07,44515.5,2.612e+07,2.62686e+07
"Xorec/iterations:1",,10,134217728,16384,"FEC(16,4)",0,1,0,0,0,1.24387e+07,57339.8,1.23717e+07,1.25725e+07
"Leopard (MDS)/iterations:1",,10,134217728,16384,"FEC(16,4)",0,1,0,0,0,2.41422e+07,49699.8,2.40881e+07,2.42344e+07
"ISA-L (MDS)/iterations:1",,10,134217728,16384,"FEC(16,4)",0,1,0,0,0,1.06951e+07,54089,1.06336e+07,1.07991e+07
"CM256 (MDS)/iterations:1",,10,134217728,16384,"FEC(16,4)",0,1,0,0,0,1.91709e+07,35815.1,1.90965e+07,1.92264e+07
"Xorec/iterations:1",,10,134217728,16384,"FEC(16,8)",0,1,0,0,0,2.02681e+07,69788.6,2.02072e+07,2.04441e+07
"Leopard (MDS)/iterations:1",,10,134217728,16384,"FEC(16,8)",0,1,0,0,0,4.63722e+07,207853,4.61524e+07,4.67949e+07
"ISA-L (MDS)/iterations:1",,10,134217728,16384,"FEC(16,8)",0,1,0,0,0,2.08585e+07,322176,2.04006e+07,2.15272e+07
"CM256 (MDS)/iterations:1",,10,134217728,16384,"FEC(16,8)",0,1,0,0,0,3.76268e+07,112596,3.74614e+07,3.78167e+07
"Xorec/iterations:1",,10,134217728,16384,"FEC(32,4)",0,1,0,0,0,5.11909e+06,119324,5.0359e+06,5.38693e+06
"Leopard (MDS)/iterations:1",,10,134217728,16384,"FEC(32,4)",0,1,0,0,0,1.59842e+07,137490,1.58263e+07,1.62654e+07
"ISA-L (MDS)/iterations:1",,10,134217728,16384,"FEC(32,4)",0,1,0,0,0,7.56028e+06,765322,5.38681e+06,7.91757e+06
"CM256 (MDS)/iterations:1",,10,134217728,16384,"FEC(32,4)",0,1,0,0,0,1.30705e+07,908779,1.27318e+07,1.56553e+07
"Xorec/iterations:1",,10,134217728,16384,"FEC(32,8)",0,1,0,0,0,1.24197e+07,166144,1.22656e+07,1.27779e+07
"Leopard (MDS)/iterations:1",,10,134217728,16384,"FEC(32,8)",0,1,0,0,0,2.66201e+07,188245,2.64465e+07,2.70409e+07
"ISA-L (MDS)/iterations:1",,10,134217728,16384,"FEC(32,8)",0,1,0,0,0,1.43458e+07,47648.1,1.42979e+07,1.4439e+07
"CM256 (MDS)/iterations:1",,10,134217728,16384,"FEC(32,8)",0,1,0,0,0,3.05528e+07,60829,3.04361e+07,3.06361e+07
"Xorec/iterations:1",,10,134217728,16384,"FEC(32,8)",0,2,0,0,0,7.1047e+06,101055,6.98621e+06,7.30177e+06
"Leopard (MDS)/iterations:1",,10,134217728,16384,"FEC(32,8)",0,2,0,0,0,1.49377e+07,189859,1.46708e+07,1.53587e+07
"ISA-L (MDS)/iterations:1",,10,134217728,16384,"FEC(32,8)",0,2,0,0,0,8.20965e+06,58646.3,8.14674e+06,8.31589e+06
"CM256 (MDS)/iterations:1",,10,134217728,16384,"FEC(32,8)",0,2,0,0,0,1.60817e+07,53655.7,1.5999e+07,1.61405e+07
"Xorec/iterations:1",,10,134217728,32768,"FEC(2,1)",0,1,0,0,0,2.06209e+07,107647,2.05538e+07,2.09211e+07
"Leopard (MDS)/iterations:1",,10,134217728,32768,"FEC(2,1)",0,1,0,0,0,2.06258e+07,60103.9,2.05491e+07,2.07157e+07
"ISA-L (MDS)/iterations:1",,10,134217728,32768,"FEC(2,1)",0,1,0,0,0,1.75654e+07,91667.6,1.7476e+07,1.7761e+07
"CM256 (MDS)/iterations:1",,10,134217728,32768,"FEC(2,1)",0,1,0,0,0,1.64635e+07,68897.1,1.63868e+07,1.66078e+07
"Xorec/iterations:1",,10,134217728,32768,"FEC(4,2)",0,1,0,0,0,2.05095e+07,109911,2.04127e+07,2.07877e+07
"Leopard (MDS)/iterations:1",,10,134217728,32768,"FEC(4,2)",0,1,0,0,0,4.29921e+07,239306,4.27797e+07,4.35378e+07
"ISA-L (MDS)/iterations:1",,10,134217728,32768,"FEC(4,2)",0,1,0,0,0,1.76123e+07,400446,1.73117e+07,1.84898e+07
"CM256 (MDS)/iterations:1",,10,134217728,32768,"FEC(4,2)",0,1,0,0,0,2.03211e+07,62253.7,2.02244e+07,2.04253e+07
"Xorec/iterations:1",,10,134217728,32768,"FEC(8,4)",0,1,0,0,0,2.05294e+07,36348.9,2.04766e+07,2.06094e+07
"Leopard (MDS)/iterations:1",,10,134217728,32768,"FEC(8,4)",0,1,0,0,0,4.37574e+07,238510,4.3233e+07,4.41564e+07
"ISA-L (MDS)/iterations:1",,10,134217728,32768,"FEC(8,4)",0,1,0,0,0,1.78425e+07,324541,1.7544e+07,1.84681e+07
"CM256 (MDS)/iterations:1",,10,134217728,32768,"FEC(8,4)",0,1,0,0,0,2.67087e+07,40955.6,2.66534e+07,2.67713e+07
"Xorec/iterations:1",,10,134217728,32768,"FEC(16,4)",0,1,0,0,0,1.25202e+07,75319,1.24336e+07,1.26501e+07
"Leopard (MDS)/iterations:1",,10,134217728,32768,"FEC(16,4)",0,1,0,0,0,2.41551e+07,51418.5,2.40751e+07,2.42204e+07
"ISA-L (MDS)/iterations:1",,10,134217728,32768,"FEC(16,4)",0,1,0,0,0,1.06566e+07,45187.7,1.05905e+07,1.07239e+07
"CM256 (MDS)/iterations:1",,10,134217728,32768,"FEC(16,4)",0,1,0,0,0,1.97988e+07,87070.3,1.96888e+07,1.99813e+07
"Xorec/iterations:1",,10,134217728,32768,"FEC(16,8)",0,1,0,0,0,2.039e+07,55089.7,2.03077e+07,2.05194e+07
"Leopard (MDS)/iterations:1",,10,134217728,32768,"FEC(16,8)",0,1,0,0,0,4.68755e+07,202913,4.64422e+07,4.71789e+07
"ISA-L (MDS)/iterations:1",,10,134217728,32768,"FEC(16,8)",0,1,0,0,0,2.14696e+07,360620,2.10699e+07,2.21916e+07
"CM256 (MDS)/iterations:1",,10,134217728,32768,"FEC(16,8)",0,1,0,0,0,3.88421e+07,107753,3.86771e+07,3.90133e+07
"Xorec/iterations:1",,10,134217728,32768,"FEC(32,4)",0,1,0,0,0,5.13303e+06,132462,5.03564e+06,5.40709e+06
"Leopard (MDS)/iterations:1",,10,134217728,32768,"FEC(32,4)",0,1,0,0,0,1.60629e+07,156225,1.58987e+07,1.63898e+07
"ISA-L (MDS)/iterations:1",,10,134217728,32768,"FEC(32,4)",0,1,0,0,0,7.59766e+06,611639,5.86653e+06,7.90292e+06
"CM256 (MDS)/iterations:1",,10,134217728,32768,"FEC(32,4)",0,1,0,0,0,1.48742e+07,853411,1.45601e+07,1.73019e+07
"Xorec/iterations:1",,10,134217728,32768,"FEC(32,8)",0,1,0,0,0,1.24816e+07,137242,1.23485e+07,1.27826e+07
"Leopard (MDS)/iterations:1",,10,134217728,32768,"FEC(32,8)",0,1,0,0,0,2.68002e+07,246472,2.65718e+07,2.73937e+07
"ISA-L (MDS)/iterations:1",,10,134217728,32768,"FEC(32,8)",0,1,0,0,0,1.48599e+07,68152.1,1.47728e+07,1.49856e+07
"CM256 (MDS)/iterations:1",,10,134217728,32768,"FEC(32,8)",0,1,0,0,0,3.24819e+07,67995,3.23631e+07,3.25572e+07
"Xorec/iterations:1",,10,134217728,32768,"FEC(32,8)",0,2,0,0,0,7.08567e+06,116843,6.94868e+06,7.26849e+06
"Leopard (MDS)/iterations:1",,10,134217728,32768,"FEC(32,8)",0,2,0,0,0,1.5011e+07,80564.2,1.48923e+07,1.51442e+07
"ISA-L (MDS)/iterations:1",,10,134217728,32768,"FEC(32,8)",0,2,0,0,0,8.53895e+06,62538.3,8.44408e+06,8.64467e+06
"CM256 (MDS)/iterations:1",,10,134217728,32768,"FEC(32,8)",0,2,0,0,0,1.71627e+07,80665.6,1.70469e+07,1.72928e+07
